OLD_TITLE	NEW_TITLE
Solar Panel 585W 585W	Solar Panel 585W
Makita Accessories 9inch Angle Grinder 230mm 2100W	9inch Angle Grinder 230mm 2100W
Makita Accessories 710W HP1630 Impact Drill Drill Chuck 1/2″ 3200rpm 48000ipm	710W HP1630 Impact Drill Chuck 1/2″ 3200rpm 48000ipm
Original Total 1hp Booster pump 52m head	Total 1hp Booster pump 52m head
Makita Accessories 26V Cordless 2 Battery Electric Drill With LED Tool Set	26V Cordless 2 Battery Electric Drill With LED Tool Set
Makita Accessories 88V Cordless 2 Battery Electric Hammer Drill Complete Toolset	88V Cordless 2 Battery Electric Hammer Drill Complete Toolset
Makita Accessories Electrician Tools Box With Electrictrical Drill	Electrician Tools Box With Electrictrical Drill
Makita Accessories 12V Cordless Electric Drill 47PC Tool Set With 2 Batteries	12V Cordless Electric Drill 47PC Tool Set With 2 Batteries
Makita Accessories MAkita Cordless Drill 47PC Tool Set 36V With 2 Batteries	Cordless Drill 47PC Tool Set 36V With 2 Batteries
Makita Accessories 18V Cordless Electric Drill 2 Battery & Screwdriver	18V Cordless Electric Drill 2 Battery & Screwdriver
Makita Accessories 26V Cordless 2 Battery Electric Drill With ToolSet	26V Cordless 2 Battery Electric Drill With ToolSet
Makita Accessories 1400W Car Polisher. ( Buffing Machine ) 180 Mm	1400W Car Polisher. ( Buffing Machine ) 180 Mm
Dewalt Dewalt88V Cordless Electric Hammer Drill 47PC ToolSet	88V Cordless Electric Hammer Drill 47PC ToolSet
Dewalt Dewalt88V Cordless Electric Hammer Drill	88V Cordless Electric Hammer Drill
Makita Accessories Angle Grinder	Angle Grinder
Original Weighing Scale Heavy Duty Portable, Hook Type 100Kg	Weighing Scale Heavy Duty Portable, Hook Type 100Kg
Makita Accessories 88V Cordless Impact Wrench, Drill & Driver	88V Cordless Impact Wrench, Drill & Driver
Makita Accessories 500A makita Inverter Welding Machine	500A Inverter Welding Machine
Ingco Ingco, 81pcs Tools Set HKTHP10811 Cordless Drill Tools Set	Ingco, 81pcs Tools Set HKTHP10811 Cordless Drill Tools Set
Makita Accessories Makita Complete 117 Toolsets With Apowerful Drill	Complete 117 Toolsets With Apowerful Drill
Ingco Ingco, Booster Water Pump 0.5HP 0.37kw 30m head	Ingco, Booster Water Pump 0.5HP 0.37kw 30m head
Raf Raf,portable ice cube maker 12kg/24hrs	Raf,portable ice cube maker 12kg/24hrs
3 max Max Powered Audio Mixer 8 Channel With Inbuilt Amp 2000W	3 max Powered Audio Mixer 8 Channel With Inbuilt Amp 2000W
