post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:total_sales,meta:_global_unique_id,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords,tax:product_brand,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:pos_product_visibility,attribute:Display,attribute_data:Display,attribute:OS,attribute_data:OS,attribute:Processor,attribute_data:Processor,attribute:Rear Camera,attribute_data:Rear Camera,attribute:pa_color,attribute_data:pa_color
100W Solar Camera Flood Light,100w-solar-camera-flood-light,,260,"100W Solar Camera Flood Light
LED Lamp: 2835 LED 82PCS 6000K
Solar Panel: 5V 20W, Polycrystalline
LED Battery Type: LiFePO4 3.2V 12AH
Networking methodI: Wifi
Pixel: 1920*1080P
Cloud Storage: Cloud Storage (Alarm Recording)
Local Storage: TF Card 16G/32G (Optional)
Material: Die-cast Aluminum
Product Size: 217*179*45 mm
Install Height: 3-5m
Warranty: 2 Years","100W Solar Camera Flood Light
LED Lamp: 2835 LED 82PCS 6000K
Solar Panel: 5V 20W, Polycrystalline
LED Battery Type: LiFePO4 3.2V 12AH
Networking methodI: Wifi
Pixel: 1920*1080P
Cloud Storage: Cloud Storage (Alarm Recording)
Local Storage: TF Card 16G/32G (Optional)
Material: Die-cast Aluminum
Product Size: 217*179*45 mm
Install Height: 3-5m
Warranty: 2 Years",Published,,0,2020-04-16 02:27:19,1,open,0222A100-01,,,no,no,,12000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/3691555547.jpg ! alt :  ! title : 3691555547 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/100w-solar-camera-flood-light/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
40W Solar LED Flood Light,40w-solar-led-flood-light-0350a40-01-6000,,261,"40W Solar LED Flood Light
LED Lamp: 2835 LED 60PCS 6000K
Solar Panel: 6V 6W,Polycrystalline
Battery Type:LiFePO4 3.2V 6AH
Charging time: 6-8 hours
Discharging time: 20-24 hours
Led: 160 lm/w
Material: ABS
Product Size: 170*140*55mm
Warranty: 3 years","40W Solar LED Flood Light
LED Lamp: 2835 LED 60PCS 6000K
Solar Panel: 6V 6W,Polycrystalline
Battery Type:LiFePO4 3.2V 6AH
Charging time: 6-8 hours
Discharging time: 20-24 hours
Led: 160 lm/w
Material: ABS
Product Size: 170*140*55mm
Warranty: 3 years",Published,,0,2020-04-16 02:25:26,1,open,SM1235,,,no,no,,4000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16570127117042.webp ! alt :  ! title : 16570127117042 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16570127132041.webp ! alt :  ! title : 16570127132041 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16570127139691.webp ! alt :  ! title : 16570127139691 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16570127104633.webp ! alt :  ! title : 16570127104633 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16570127108836.webp ! alt :  ! title : 16570127108836 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/40w-solar-led-flood-light-0350a40-01-6000/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
400W Solar Camera Light,400w-solar-camera-flood-light,,278,"400W Solar Camera Flood Light
LED Lamp: 2835 LED 324PCS 6000K
Solar Panel: 5V 40W, Polycrystalline
LED Battery Type: LiFePO4 3.2V 42AH
Networking methodI: Wifi
Pixel: 1920*1080P
Cloud Storage: Cloud Storage (Alarm Recording)
Local Storage: TF Card 16G/32G (Optional)
Material: Die-cast Aluminum
Product Size: 365*295*50 mm
Install Height: 6-8m
Warranty: 2 Years","400W Solar Camera Flood Light
LED Lamp: 2835 LED 324PCS 6000K
Solar Panel: 5V 40W, Polycrystalline
LED Battery Type: LiFePO4 3.2V 42AH
Networking methodI: Wifi
Pixel: 1920*1080P
Cloud Storage: Cloud Storage (Alarm Recording)
Local Storage: TF Card 16G/32G (Optional)
Material: Die-cast Aluminum
Product Size: 365*295*50 mm
Install Height: 6-8m
Warranty: 2 Years",Published,,0,2020-04-16 06:13:51,1,open,SM1238,,,no,no,,18500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/WiFi-Solar-Lights-Security-Powered-Wireless-Cameras-with-Camera-with-Flood-Stadium-200W-LED-Camera-Flood-Light.jpg ! alt :  ! title : WiFi-Solar-Lights-Security-Powered-Wireless-Cameras-with-Camera-with-Flood-Stadium-200W-LED-Camera-Flood-Light ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/2021-3-30-16170396463720.webp ! alt :  ! title : 2021-3-30-16170396463720 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/solar-flood-light-CCTV-camera-mid.jpg ! alt :  ! title : solar flood light CCTV camera-mid ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/3691555547.jpg ! alt :  ! title : 3691555547 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/400w-solar-camera-flood-light/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
300W Solar LED,300w-solar-led-flood-light,,280,"300W Solar LED Flood Light

LED Lamp: 5730 LED 597PCS 3000K-6500K
Solar Panel: 6V 65W, Polycrystalline Battery Type: LiFePO4 3.2V 96AH
IP Rating: IP67 Charging time: 6-8 hours
Discharging time: 30-36 hours
Led: 160 lm/w Material: Die-casting Aluminium Lamp Size: 400*325*108 mm
Warranty: 3 years","300W Solar LED Flood Light

LED Lamp: 5730 LED 597PCS 3000K-6500K
Solar Panel: 6V 65W, Polycrystalline Battery Type: LiFePO4 3.2V 96AH
IP Rating: IP67 Charging time: 6-8 hours
Discharging time: 30-36 hours
Led: 160 lm/w Material: Die-casting Aluminium Lamp Size: 400*325*108 mm
Warranty: 3 years",Published,,0,2020-04-16 06:27:00,1,open,0837E300-01,,,no,no,,26000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775024033010.webp ! alt :  ! title : 15775024033010 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775024124992.webp ! alt :  ! title : 15775024124992 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775023914752.webp ! alt :  ! title : 15775023914752 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775023645828.webp ! alt :  ! title : 15775023645828 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/300w-solar-led-flood-light/,0,,,,,,,,,,,,,,simple,,Solar Lights,,,,,,,,,,,,,
50W Solar LED Flood Light,50w-solar-led-flood-light-2,,292,"50W Solar LED Flood Light
LED Lamp: 5730 LED 120PCS 3000K-6500K
Solar Panel: 18V 20W, Polycrystalline
Battery Type: LiFePO4 12.8V 6AH
IP Rating: IP65
Charging time: 6-8 hours
Discharging time: 12-15 hours
Led: 160 lm/w
Material: Die-casting Aluminium
Product Size: 250*200*68mm
Warranty: 3 years","50W Solar LED Flood Light
LED Lamp: 5730 LED 120PCS 3000K-6500K
Solar Panel: 18V 20W, Polycrystalline
Battery Type: LiFePO4 12.8V 6AH
IP Rating: IP65
Charging time: 6-8 hours
Discharging time: 12-15 hours
Led: 160 lm/w
Material: Die-casting Aluminium
Product Size: 250*200*68mm
Warranty: 3 years",Published,,0,2020-04-16 07:02:44,1,open,0837A50-01-3000K/6000K,,,no,no,,9500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/50.jpg ! alt :  ! title : 50 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775024124992.webp ! alt :  ! title : 15775024124992 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775024033010.webp ! alt :  ! title : 15775024033010 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775023914752.webp ! alt :  ! title : 15775023914752 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/15775023645828.webp ! alt :  ! title : 15775023645828 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/50w-solar-led-flood-light-2/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
25W Solar LED Flood Light,25w-solar-led-flood-light,,2470,"25W Solar LED Flood Light

LED Lamp: 2835 LED 192pcs 6000K
Solar Panel: 6V 3W Polycrystalline Battery Type: Lithium-Ion 3.7V 1500mAH
IP Rating: IP65
Charging time: 6-8 Hours
Discharging time: 2 Rainy days Lumen: 160 lm/w
Material: ABS
Lamp Size: 193*162*50mm
Warranty: 2 Years","25W Solar LED Flood Light

LED Lamp: 2835 LED 192pcs 6000K
Solar Panel: 6V 3W Polycrystalline Battery Type: Lithium-Ion 3.7V 1500mAH
IP Rating: IP65
Charging time: 6-8 Hours
Discharging time: 2 Rainy days Lumen: 160 lm/w
Material: ABS
Lamp Size: 193*162*50mm
Warranty: 2 Years",Published,,0,2020-05-11 04:03:11,1,open,0410A25-01,,,no,no,,2300,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2020/04/solar.jpg ! alt :  ! title : solar ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16699491212540.webp ! alt :  ! title : 16699491212540 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16699491204064.webp ! alt :  ! title : 16699491204064 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/16699491171114.webp ! alt :  ! title : 16699491171114 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/25w-solar-led-flood-light/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
8W Solar Emergency Light,8w-multifunctional-solar-emergency-light,,2471,"8W Multifunctional Solar Emergency Light

LED Lamp 1: 5730 LED 44PCS 3000K-6500K LED Lamp 2: Bridgelux 1PCS 1W 3000K-6500K
Solar Panel: 9V 7W, Polycrystalline Battery Type: Lead-acid battery 6V 4.5AH
Charging time: 6-8 hours
Discharging time: 12-15 hours Led: 160 lm/w Material: ABS Lamp Size: 231*99*135mm
Warranty: 3 years","8W Multifunctional Solar Emergency Light

LED Lamp 1: 5730 LED 44PCS 3000K-6500K LED Lamp 2: Bridgelux 1PCS 1W 3000K-6500K
Solar Panel: 9V 7W, Polycrystalline Battery Type: Lead-acid battery 6V 4.5AH
Charging time: 6-8 hours
Discharging time: 12-15 hours Led: 160 lm/w Material: ABS Lamp Size: 231*99*135mm
Warranty: 3 years",Published,,0,2020-05-11 03:59:27,1,open,0867A08-01,,,no,no,,7500,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/23badead3943e92cc17c659911890103.webp ! alt :  ! title : 23badead3943e92cc17c659911890103 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/e58576e5a388742e4202a6f10d645ab6.webp ! alt :  ! title : e58576e5a388742e4202a6f10d645ab6 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/d328213747ec36db86fd9b07e97d85ab.webp ! alt :  ! title : d328213747ec36db86fd9b07e97d85ab ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/c07ccbce63a7196dfce02169897cc990.webp ! alt :  ! title : c07ccbce63a7196dfce02169897cc990 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/8w-multifunctional-solar-emergency-light/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
100W Solar LED Flood Light,100w-solar-led-flood-light,,2474,"100W Solar LED Flood Light

LED Lamp: 5730 LED 120PCS 3000K-6000K
Solar Panel: 6V 8.5W, Polycrystalline Battery Type: LiFePO4 3.2V 18AH
Charging time: 6-8 hours
Discharging time: 30-36 hours Led: 160 lm/w Material: ABS Lamp Size: 280*250*100 mm
Install Height: 4-6m
Warranty: 3 years","100W Solar LED Flood Light

LED Lamp: 5730 LED 120PCS 3000K-6000K
Solar Panel: 6V 8.5W, Polycrystalline Battery Type: LiFePO4 3.2V 18AH
Charging time: 6-8 hours
Discharging time: 30-36 hours Led: 160 lm/w Material: ABS Lamp Size: 280*250*100 mm
Install Height: 4-6m
Warranty: 3 years",Published,,0,2020-05-11 03:36:44,1,open,0860B100-01,,,no,no,,9000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/75ae7c252aca7f8c802c78e2237fe933.webp ! alt :  ! title : 75ae7c252aca7f8c802c78e2237fe933 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/c57688c0c469822b832efa39838bc7a0.webp ! alt :  ! title : c57688c0c469822b832efa39838bc7a0 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/1bb42850e25d6f769d1742ff4f119225.webp ! alt :  ! title : 1bb42850e25d6f769d1742ff4f119225 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/f6da5ab1f17bad5e0cf185b64f1b36df.webp ! alt :  ! title : f6da5ab1f17bad5e0cf185b64f1b36df ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/d690772d02b21d89b9664c29dcbe7e7a.webp ! alt :  ! title : d690772d02b21d89b9664c29dcbe7e7a ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/100w-solar-led-flood-light/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
20W Solar battery,20w-solar-battery-backup-system,,11709,"20W Solar Power System
LED Lamp: 3014 LED 18PCS 6000K
LED Lamp: 5730 LED 36PCS 6000K
Solar Panel: 6V 12W, Polycrystalline
Battery Type: LiFePO4 3.2V 12AH
Charging time: 6-8 hours
Discharging time: 10-24 hours
LED: 160 lm/w
USB Output: 5V 2.5A 1pcs
Material: PVC+PC
Product Size: 146*77*136mm(System Host)
Warranty: 3 years","20W Solar Power System
LED Lamp: 3014 LED 18PCS 6000K
LED Lamp: 5730 LED 36PCS 6000K
Solar Panel: 6V 12W, Polycrystalline
Battery Type: LiFePO4 3.2V 12AH
Charging time: 6-8 hours
Discharging time: 10-24 hours
LED: 160 lm/w
USB Output: 5V 2.5A 1pcs
Material: PVC+PC
Product Size: 146*77*136mm(System Host)
Warranty: 3 years",Published,,0,2023-07-23 13:45:48,1,open,,,,no,no,,9000,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2024/11/0285A20-01.jpg ! alt :  ! title : 0285A20-01 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/20w-solar-battery-backup-system/,0,,,,,,,,,,,,,,simple,,Batteries,,,,,,,,,,,,,
20W Solar Pendant,20w-solar-pendant,,11712,"<div class=""product-short-description"">

1.2-in-1 unique design: This is a solar light bulb, not only can be used as a USB rechargeable LED bulb and emergency light, but also as a mobile power source for mobile phones. Suitable for all E27 sockets.

2. It may be an emergency light bulb: After the power is cut off, the light bulb will work as an emergency light and will automatically turn on in an emergency

</div>
<form class=""cart"" action=""https://www.damany.co.ke/product/alltop-20w-solar-pendant/"" enctype=""multipart/form-data"" method=""post"">
<div class=""quantity buttons_added""></div>
</form>","<div class=""product-short-description"">

1.2-in-1 unique design: This is a solar light bulb, not only can be used as a USB rechargeable LED bulb and emergency light, but also as a mobile power source for mobile phones. Suitable for all E27 sockets.

2. It may be an emergency light bulb: After the power is cut off, the light bulb will work as an emergency light and will automatically turn on in an emergency

</div>
<form class=""cart"" action=""https://www.damany.co.ke/product/alltop-20w-solar-pendant/"" enctype=""multipart/form-data"" method=""post"">
<div class=""quantity buttons_added""></div>
</form>",Published,,0,2023-07-23 13:51:02,1,open,,,,no,no,,4800,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,https://powertoolsplugke.co.ke/wp-content/uploads/2023/07/9watts-solar-wall-light-4-768x768-1.png ! alt :  ! title : 9watts-solar-wall-light-4-768x768 ! desc :  ! caption :  | https://powertoolsplugke.co.ke/wp-content/uploads/2023/07/Untitled-2.jpg ! alt :  ! title : Untitled-2 ! desc :  ! caption : ,,https://powertoolsplugke.co.ke/product/20w-solar-pendant/,0,,,,,,,,,,,,,,simple,,Floodlights,,,,,,,,,,,,,
